id,completed_network,female,race,age,school,name_discipline,discipline,masters,yrsexp,yrslhs,grade,12a,12b,12c,12d,12e,12f,12g,12h,12i,12j,12k,12li,12lii,12lii,12liv,12lv,13a,13b,13c,13d,14a,14b,14c,14d,14d,15a,15b,15c,15d,15e,16a,16b,16c,16d,16e,16f,16g,16h,16i,16j,17a,17b,17c,17d,17e,17f,17g,17h,17i,17j,18a,18b,18c,19a,19b,19c,19d,19e,20a,20b,20c,20d,20e,21a,21b,21c,21d,21e,21f,21g,21h,21i,22a,22b,22c,22d,22e,22f,23a,23b,23c,23d,23d,23f,24a,24b,24c,24di,24dii,24diii,24div,24ei,24eii,24eiii,24f,24g,24h,25a,25b,25c,25d,26a,26b,26c,26d,27a,27b,27c,27d,27e,28a,28b,28c,hmwrk
34,1,0,5,2,1,Sped,6,0,2,2,5,6,5,3,4,5,2,4,5,3,6,4,2,5,1,1,1,6,6,6,4,6,4,4,2,1,3,5,4,6,4,5,3,6,3,2,6,6,4,2,2,5,3,6,3,2,6,6,4,3,3,1,4,6,2,1,4,4,5,5,5,6,6,6,3,2,2,3,3,3,1,2,2,3,2,2,1,5,3,5,5,6,6,5,6,4,3,2,NA,NA,NA,NA,NA,NA,NA,2,1,2,5,5,2,4,5,4,1,5,2,2,2,2,2,6,2,4,3
35,1,0,5,2,4,SS,4,0,4,4,5,5,2,4,4,4,2,5,5,4,4,5,5,6,2,3,2,3,4,4,5,5,6,5,3,3,5,5,5,5,5,3,4,3,4,3,4,4,3,4,4,5,4,5,4,3,4,4,4,5,5,5,5,5,4,5,5,5,5,3,4,4,4,4,2,2,2,1,4,4,3,3,2,4,5,5,4,5,5,5,5,5,5,5,5,NA,3,3,3,2,2,1,3,2,2,3,3,3,2,2,2,2,5,5,4,4,2,4,4,2,2,4,2,2,4
36,0,1,1,4,4,Math,2,1,2,3,5,6,1,1,4,4,2,2,4,2,3,1,2,2,1,1,1,6,6,6,6,6,6,1,6,6,6,6,6,6,6,1,1,1,1,1,1,1,6,6,6,6,6,NA,6,1,6,6,6,6,6,4,1,6,1,1,1,1,1,6,6,6,6,6,4,2,1,1,NA,5,1,1,1,1,1,1,6,3,3,3,2,3,6,3,3,2,4,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,1,4,4,4,4,2,2,3,2,3,1,3,3,3
37,1,1,5,2,4,SS,4,1,3,3,2,4,6,1,4,4,1,5,4,3,2,2,4,4,4,4,4,6,4,4,5,3,3,3,2,1,5,5,5,5,5,4,4,2,2,2,4,4,2,3,3,5,5,5,5,2,5,5,5,4,5,2,4,4,1,1,3,1,1,3,3,4,4,4,3,2,2,2,5,5,2,4,2,1,2,3,3,3,1,3,4,5,5,5,5,3,3,NA,2,NA,NA,NA,2,NA,NA,1,2,1,2,2,1,1,5,5,3,4,2,2,2,2,3,2,4,1,4
38,1,0,5,3,2,English,1,1,4,4,5,6,2,3,6,6,1,5,5,4,2,1,5,5,2,2,5,3,2,2,2,2,5,4,1,1,1,5,6,6,6,2,1,1,3,1,2,2,1,1,1,5,4,6,4,1,5,5,4,3,5,4,6,6,1,1,1,2,2,5,4,5,6,6,1,1,2,2,5,3,2,1,2,1,2,1,2,1,1,4,5,6,5,6,4,2,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,1,2,1,5,1,1,2,2,2,2,2,5,4,5,4
39,1,1,5,4,4,Sped,6,1,6,4,5,6,2,6,6,6,1,4,5,6,6,NA,2,4,4,4,5,NA,NA,NA,NA,6,6,6,1,4,6,6,6,6,6,6,1,4,5,4,5,5,6,5,5,6,6,6,5,5,5,5,6,6,6,6,6,6,3,1,2,1,1,6,6,6,6,6,4,2,2,2,4,4,2,2,2,2,2,6,6,6,5,6,6,6,6,6,6,4,4,3,2,2,2,1,1,1,1,1,3,2,5,5,2,2,3,5,1,1,2,2,2,3,4,4,4,4,4
40,1,1,5,4,1,Math,2,1,6,4,5,6,4,3,5,5,4,4,4,4,5,4,4,4,3,3,2,3,4,3,5,5,4,3,2,3,5,5,4,5,5,6,5,5,4,3,5,5,5,2,4,6,5,5,4,4,5,5,6,4,5,5,4,5,1,3,2,3,3,4,6,5,5,5,4,2,1,2,4,3,1,3,1,4,4,4,4,5,5,6,6,6,6,6,6,3,3,3,2,2,1,NA,NA,2,2,2,2,2,1,2,1,1,3,4,4,3,2,3,2,2,3,1,2,1,5
41,1,0,5,3,4,English,1,1,4,3,3,6,4,5,4,4,2,3,4,4,4,5,6,3,3,3,3,4,4,4,4,5,5,4,2,4,6,6,6,6,6,3,2,2,2,2,2,2,3,3,4,6,5,6,6,2,6,6,6,6,6,5,5,5,1,1,3,3,3,4,4,4,4,2,2,2,1,1,5,5,4,2,3,3,2,2,2,6,1,4,6,6,6,6,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,3,4,1,3,2,2,2,3,3,2,4,2,3
42,1,1,5,2,4,Science,3,1,4,2,3,6,3,3,4,4,1,3,4,4,3,5,3,4,2,2,4,6,6,6,6,6,6,1,6,6,6,6,6,6,6,5,2,5,5,5,5,1,3,2,1,6,6,6,6,6,6,6,6,6,6,6,3,6,1,3,5,3,5,3,3,4,4,4,2,2,2,2,3,3,1,1,2,1,1,6,3,6,3,6,6,6,6,6,6,4,NA,2,2,2,2,2,2,2,2,2,2,1,3,4,2,1,1,3,3,3,2,2,2,2,4,1,3,1,3
43,1,0,5,3,2,World,5,0,5,3,2,5,2,6,1,3,5,3,2,2,6,4,3,1,1,2,2,3,6,6,6,6,5,1,6,6,3,3,3,4,4,5,4,4,4,5,5,3,5,4,3,5,4,4,4,5,5,3,5,4,2,1,3,6,1,1,2,1,3,5,5,5,1,6,3,3,4,1,3,3,2,2,3,2,6,3,5,6,5,5,5,6,6,6,5,2,3,3,1,2,2,1,2,2,2,1,2,3,2,1,1,1,4,3,4,4,2,3,3,3,3,3,2,6,4
44,1,0,5,2,1,SS,4,0,4,4,5,5,5,5,3,4,4,2,3,3,3,4,4,5,4,4,2,2,1,2,1,5,4,4,2,2,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,5,5,5,5,3,4,5,5,4,5,2,5,6,3,3,5,4,6,4,5,5,5,5,2,3,2,2,5,4,3,2,3,5,4,4,5,6,3,5,5,6,6,6,6,3,4,3,2,2,3,3,3,2,2,3,3,3,3,3,2,2,5,4,3,4,2,2,3,4,5,4,1,2,4
45,1,0,5,1,2,Math,2,0,3,3,5,5,3,4,5,5,2,3,3,4,5,4,4,4,3,3,4,5,5,5,5,5,4,2,3,3,4,4,4,4,4,4,2,2,2,2,2,3,4,4,4,4,4,4,4,3,4,4,4,4,4,3,3,5,1,1,3,3,4,4,5,5,5,5,2,2,2,2,3,3,4,1,1,2,2,2,4,5,2,5,5,5,5,5,5,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,2,4,2,4,3,2,NA,1,4,3,3,2,4
46,1,1,5,3,2,World,5,0,3,2,2,5,2,6,4,4,2,5,5,5,6,5,6,6,2,2,4,6,6,6,6,6,6,2,1,1,6,6,6,6,6,6,6,6,6,6,6,6,4,5,4,6,6,6,6,6,6,6,6,6,6,6,4,6,1,1,1,1,4,5,4,4,4,1,5,2,3,5,5,5,3,1,3,3,1,2,5,1,1,4,1,2,5,2,2,4,2,1,3,3,3,3,3,1,2,2,1,1,1,2,2,1,4,5,2,4,1,2,2,2,4,1,3,2,4
47,1,1,5,4,1,Math,2,0,6,6,5,5,3,4,5,4,2,3,4,3,6,5,4,4,2,2,2,4,5,4,5,6,3,2,5,5,5,5,5,5,5,5,5,5,4,4,5,3,5,4,5,5,5,5,4,4,5,3,5,4,5,4,4,4,2,2,3,2,2,5,5,2,2,4,3,2,2,1,5,4,2,1,2,3,2,4,4,5,2,NA,NA,NA,NA,NA,NA,NA,3,NA,3,NA,NA,NA,NA,NA,3,2,NA,NA,NA,3,2,3,3,4,3,4,2,2,2,3,3,4,3,4,1
48,1,1,5,2,2,Science,3,0,1,1,2,6,3,4,6,6,2,3,4,4,3,3,2,5,4,3,4,5,5,6,5,6,5,4,3,3,6,6,5,6,6,4,4,4,5,5,3,4,4,4,4,4,2,5,4,5,5,6,3,4,3,5,4,6,3,3,3,3,3,6,4,4,5,6,2,1,2,2,4,4,1,1,3,3,3,4,4,3,2,5,4,5,5,6,5,2,3,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,4,1,3,3,5,4,3,2,2,2,2,2,6,5,5,3
49,1,1,5,5,4,English,1,0,6,6,5,6,1,5,5,6,2,2,2,4,6,6,5,5,1,1,1,5,6,5,6,6,6,5,1,4,6,6,5,6,6,1,1,1,1,1,2,1,4,4,4,6,6,6,6,5,6,6,6,6,6,5,5,5,1,2,3,2,3,6,6,5,6,6,2,2,2,1,4,4,2,3,3,3,3,3,4,6,3,6,6,6,6,6,6,4,4,3,3,2,NA,NA,NA,NA,NA,3,3,2,2,2,2,2,3,5,1,2,4,4,4,4,4,2,4,2,4
50,1,1,5,4,3,Science,3,0,6,6,5,6,6,2,6,4,4,5,2,3,5,4,2,2,2,2,4,5,6,4,6,5,4,3,3,5,5,5,6,4,5,6,4,3,1,5,4,6,3,3,4,6,4,3,1,5,4,6,3,3,4,1,1,4,1,2,1,5,5,6,4,5,5,5,4,4,4,4,4,5,4,3,5,1,1,2,4,3,1,4,4,4,5,5,4,NA,3,3,4,NA,NA,NA,2,2,2,3,2,3,3,4,2,2,2,5,1,2,2,2,2,2,5,2,3,3,2
51,1,0,5,4,3,Science,3,1,6,5,5,6,3,4,5,5,1,5,2,3,3,4,6,6,2,1,1,6,6,4,6,6,6,6,1,3,1,5,4,6,6,2,2,3,2,4,3,3,5,4,4,2,2,4,2,5,3,3,5,4,4,6,6,6,3,2,5,4,5,NA,6,4,5,6,4,5,3,1,5,5,4,5,5,3,3,3,3,4,4,5,4,3,5,5,5,3,4,3,2,2,2,2,3,3,2,2,2,2,1,4,2,1,4,5,1,1,2,2,2,2,2,1,4,2,4
52,1,0,5,2,4,SS,4,1,3,3,1,5,4,2,3,4,2,3,3,4,6,5,3,4,3,3,3,3,3,3,3,6,6,6,1,1,5,5,5,5,5,3,3,4,3,2,3,3,4,3,3,5,4,4,4,3,4,4,4,4,4,2,5,3,2,2,2,2,3,2,4,3,3,3,2,1,1,1,4,4,1,1,5,3,2,3,3,4,5,3,4,5,5,6,6,4,4,4,3,NA,NA,NA,3,2,2,2,2,2,3,3,1,2,4,5,1,3,2,2,2,3,4,2,4,4,3
53,1,1,5,4,1,Math,2,1,5,1,1,5,2,5,5,5,2,3,2,2,5,5,4,6,3,3,2,4,4,4,3,6,4,2,2,6,5,6,6,6,6,2,2,2,2,2,5,5,3,3,3,6,6,6,6,6,6,6,6,6,6,4,4,6,1,1,5,5,5,5,3,4,4,5,3,2,2,2,4,4,2,1,2,1,1,3,3,6,1,6,6,6,6,6,6,4,4,4,2,NA,NA,NA,NA,3,2,4,3,3,2,2,2,1,5,4,1,5,1,2,2,1,4,1,2,2,5
54,1,0,3,3,1,Science,3,0,1,1,2,6,4,2,6,6,1,3,5,5,5,4,4,4,3,2,3,6,6,6,3,5,6,5,6,6,6,5,6,6,6,6,6,6,4,4,4,5,5,5,5,6,6,6,4,4,4,5,6,6,6,4,5,5,4,4,4,4,5,5,5,5,2,5,2,2,1,2,4,4,2,1,3,4,4,4,4,5,4,5,6,6,6,6,6,4,4,3,3,3,NA,3,3,3,3,3,3,3,4,5,2,2,2,4,4,4,2,2,3,3,3,3,3,3,2
55,1,1,5,5,2,English,1,1,1,1,5,6,2,3,6,6,1,4,6,5,5,6,6,6,4,6,6,6,6,6,6,6,6,4,1,5,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,4,6,6,6,6,6,3,3,6,1,1,4,2,2,6,6,6,6,6,2,2,2,3,4,4,1,1,5,5,3,3,6,4,4,6,4,4,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,4,5,3,4,2,2,2,4,4,1,1,1,4
56,1,1,5,1,3,English,1,0,1,1,3,4,3,3,3,4,3,4,4,4,4,2,3,5,3,3,3,4,4,4,4,5,5,3,2,3,4,4,4,4,4,4,4,5,3,2,5,4,5,3,3,4,3,3,3,4,5,5,5,3,4,5,5,6,4,5,4,3,2,4,6,5,5,6,2,2,2,3,4,3,1,1,2,4,4,4,4,3,2,4,4,5,5,4,4,NA,NA,NA,3,3,3,3,NA,NA,NA,2,2,2,1,1,1,2,1,3,2,2,4,2,3,4,4,2,4,3,2
57,1,1,5,3,1,English,1,1,4,1,3,6,4,3,5,6,1,5,6,6,4,5,6,6,6,6,2,6,6,6,6,5,6,6,1,1,5,5,4,4,5,4,2,4,4,2,4,5,3,1,2,5,3,4,4,2,5,5,4,2,4,3,4,6,1,1,5,2,3,5,2,2,5,5,2,2,2,1,4,4,1,2,2,3,3,5,3,6,4,5,5,6,5,5,5,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,3,4,1,3,1,4,1,2,2,2,2,2,2,6,5,3,5
58,1,1,1,1,2,Math,2,0,2,1,2,6,3,5,5,5,2,6,6,5,5,3,6,6,1,1,1,5,4,5,6,6,3,1,6,5,4,4,5,6,6,2,2,4,2,4,4,4,4,3,3,3,3,5,4,4,5,5,5,3,4,1,2,6,1,2,2,2,5,6,6,6,6,6,3,2,4,3,5,5,4,2,2,5,3,3,3,4,3,6,6,6,6,6,6,2,3,1,3,3,2,1,3,3,3,1,2,2,2,2,1,1,5,4,4,5,2,2,2,2,3,1,3,3,4
59,1,1,5,2,3,Math,2,0,3,1,5,5,3,2,5,5,2,3,5,4,2,2,5,6,5,5,5,4,5,3,4,5,3,2,2,2,2,2,5,5,5,2,2,2,3,2,4,4,4,3,3,3,3,4,2,3,4,4,NA,3,4,1,2,5,1,1,2,1,4,4,4,5,4,5,3,2,2,2,4,3,2,2,1,4,2,4,3,4,3,4,4,4,4,4,3,3,NA,NA,2,NA,NA,NA,NA,NA,NA,2,3,3,2,2,1,1,2,4,2,5,3,2,2,3,3,4,4,5,5
60,1,1,5,5,1,English,1,1,6,1,2,6,2,5,4,5,2,5,2,5,6,5,1,1,1,1,6,6,6,3,6,5,6,2,1,1,NA,NA,NA,NA,NA,5,4,5,3,1,5,4,5,4,5,5,4,5,3,1,5,4,5,4,5,5,6,6,1,1,2,2,2,3,4,4,5,6,2,2,3,3,5,NA,3,2,2,2,3,4,5,6,1,4,5,6,5,5,6,2,3,3,3,NA,NA,NA,3,NA,3,3,3,3,1,2,1,1,1,5,1,2,2,2,2,2,5,2,3,2,2
61,1,0,5,4,2,Sped,6,0,1,2,5,6,2,3,6,3,1,2,6,6,4,4,6,6,6,6,6,6,6,6,6,5,6,6,1,3,6,6,6,6,6,6,6,6,6,3,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,4,4,5,3,4,5,5,5,6,6,5,5,6,1,NA,NA,3,NA,4,2,NA,4,NA,NA,6,6,NA,NA,NA,5,6,6,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,NA,3,3,3,4,3,2,4,5,5,1,5,2,4,4,2,2,4,2,3,1
62,1,0,5,2,1,Science,3,0,1,1,5,5,2,4,5,4,3,5,5,2,3,4,4,4,3,3,4,5,5,5,5,5,4,4,4,4,5,5,5,5,5,5,4,4,3,5,5,5,5,4,4,5,4,4,3,5,5,5,5,4,4,3,4,4,2,4,3,3,4,5,4,4,3,5,3,2,2,2,3,4,2,2,3,4,4,4,4,4,4,4,4,5,5,4,5,3,3,3,3,3,3,3,3,2,3,3,2,2,2,2,1,2,2,3,3,3,2,2,2,2,2,4,2,3,1
63,1,1,5,3,3,SS,4,0,2,1,1,6,1,6,4,6,1,4,4,5,4,4,5,4,4,3,4,6,6,6,6,6,6,5,1,3,6,6,6,6,6,6,5,6,5,5,6,6,6,6,6,6,NA,6,6,6,6,6,6,6,6,1,4,5,1,2,3,2,3,NA,5,5,5,5,3,2,2,2,4,4,2,2,3,3,5,5,6,6,5,5,6,6,6,6,6,NA,NA,3,3,NA,NA,3,3,3,3,2,3,3,2,2,2,2,4,5,1,5,2,2,3,2,3,2,4,NA,4
64,1,0,5,4,3,World,5,0,4,1,5,6,6,4,5,5,2,5,5,3,5,5,1,1,1,1,6,6,6,6,6,6,6,6,1,6,6,5,6,6,5,5,5,6,6,6,6,6,6,4,5,6,6,6,6,6,6,6,2,4,5,1,5,5,1,1,1,5,4,5,5,5,5,5,2,2,2,2,4,4,1,3,4,4,4,2,4,4,2,4,4,2,4,4,2,3,3,3,3,3,2,2,3,3,3,3,3,3,1,1,1,2,4,5,2,4,2,2,2,3,4,5,6,5,4
65,1,0,5,2,3,Sped,6,0,3,1,5,5,2,3,5,4,2,3,5,3,3,3,2,4,2,2,3,NA,NA,NA,NA,5,4,4,3,3,4,4,3,5,5,3,4,4,3,3,4,5,5,4,4,4,6,6,3,3,4,5,5,4,4,3,4,4,2,2,3,2,3,3,4,5,4,4,2,2,2,1,3,3,2,2,2,3,3,5,4,4,3,4,5,4,5,5,5,3,3,3,3,2,2,2,2,2,2,3,2,2,5,5,2,4,4,4,4,3,2,2,2,1,2,4,1,3,3
66,1,1,5,2,3,World,5,0,4,1,5,6,3,5,5,5,1,2,3,3,3,4,3,3,3,3,3,4,5,5,6,6,5,3,3,3,6,6,6,6,6,5,5,5,5,5,6,6,6,5,6,6,5,5,6,5,6,6,6,6,6,3,3,5,3,3,3,3,3,5,5,4,4,4,6,1,1,1,5,5,5,5,5,2,3,4,4,6,3,3,3,4,5,5,3,NA,3,3,3,3,3,3,3,3,3,3,3,3,4,3,1,2,5,5,4,4,2,4,4,4,3,5,4,4,5
67,1,0,5,1,1,Math,2,0,1,1,5,6,6,6,6,6,2,3,5,5,5,6,6,6,5,3,1,6,6,4,5,6,4,3,5,5,6,6,6,6,6,5,5,6,6,5,6,6,5,5,6,6,6,6,6,6,6,6,6,6,6,1,1,6,2,1,4,3,5,4,6,6,6,6,3,2,4,4,4,4,4,4,1,4,6,6,5,6,1,6,6,6,6,6,6,4,4,4,4,NA,NA,NA,3,3,NA,4,3,3,1,2,1,1,4,4,4,4,2,4,4,4,3,1,1,2,4
68,1,0,5,1,3,SS,4,0,1,1,1,5,4,4,4,5,3,3,4,3,5,5,4,5,2,3,5,3,6,5,6,5,4,2,2,3,4,3,4,4,5,5,3,2,2,2,2,2,4,4,4,6,5,4,4,5,5,5,5,4,4,1,4,3,2,3,2,2,3,4,4,3,4,4,1,2,2,1,3,3,2,1,3,3,3,2,4,4,2,3,3,1,5,4,2,NA,NA,3,2,2,1,1,2,2,2,3,2,2,2,2,1,2,4,5,3,4,2,2,3,3,2,4,3,3,3
69,1,0,5,4,2,Math,2,1,2,1,2,6,5,5,6,4,2,NA,5,4,5,2,5,5,5,5,5,6,6,6,6,6,6,4,3,2,4,5,5,4,5,6,4,2,4,6,6,6,6,5,4,6,6,6,6,6,6,6,6,6,6,2,4,5,1,2,2,1,2,6,4,3,5,5,4,2,2,2,4,5,2,2,2,3,2,2,5,3,2,4,3,3,6,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,3,3,2,2,3,4,3,4,2,2,2,2,3,5,4,4,5
70,1,1,5,5,3,Science,3,1,5,1,1,6,2,5,5,4,2,4,5,5,4,4,6,6,5,5,4,4,5,4,5,2,4,6,1,2,4,4,6,5,4,4,2,2,2,3,5,4,6,5,5,6,6,6,6,5,6,6,6,6,6,1,5,5,1,2,3,3,5,4,4,3,4,6,2,2,2,2,4,4,2,2,3,3,4,4,5,6,4,5,5,5,6,5,5,3,3,NA,2,2,2,2,2,2,2,NA,2,2,2,2,2,2,4,5,3,2,2,2,2,2,3,4,4,4,2
